chr	start	end	gene	x1	x2	M	width	df	var	cov	Nsnps	pHet	pAlt	odsHet
1	11873	12721	DDX11L1	11873	12721	-1.27649457903246	0.486833024060487	5.72716236583531	0	0	0	0.5	0.5	0.5
1	13220	29370	WASH7P	13220	29370	-1.42227790127101	1.51833633763883	5.72716236583531	0	0	0	0.5	0.5	0.5
1	30365	30503	MIR1302-2HG	30365	30503	-1.24981032795353	0.531149128043921	5.72716236583531	0	0	0	0.5	0.5	0.5
1	34610	36081	FAM138A	34610	36081	-1.26540421357639	0.468118066202856	5.72716236583531	0	0	0	0.5	0.5	0.5
1	69090	70008	OR4F5	69090	70008	-1.43573819847779	1.8307811948228	5.72716236583531	0	0	0	0.5	0.5	0.5
1	134772	139696	ENST00000595919	134772	139696	-1.28855884620855	0.767296751388897	5.72716236583531	0	0	0	0.5	0.5	0.5
1	139789	140566	ENST00000493797	139789	140566	-1.25517424237153	0.46736220894339	5.72716236583531	0	0	0	0.5	0.5	0.5
1	187890	187958	MIR6859-2	187890	187958	-1.24436060288048	0.531149128043921	5.72716236583531	0	0	0	0.5	0.5	0.5
1	450739	451678	OR4F29	450739	451678	-1.30588853209568	0.46748969123885	5.72716236583531	0	0	0	0.5	0.5	0.5
1	490755	495445	ENST00000431321	490755	495445	-1.30971317007377	0.473665763487703	5.72716236583531	0	0	0	0.5	0.5	0.5
1	627379	778688	ENST00000634833	627379	778688	-1.34603450118316	0.648086053134735	5.72716236583531	0	0	0	0.5	0.5	0.5
1	628918	629009	MTND1P23	628918	629009	-1.30832825691329	0.531149128043921	5.72716236583531	0	0	0	0.5	0.5	0.5
1	632324	632413	MTCO2P12	632324	632413	-1.31120699028316	0.531149128043921	5.72716236583531	0	0	0	0.5	0.5	0.5
1	685715	686654	OR4F16	685715	686654	-1.31614756699928	0.46749185759263	5.72716236583531	0	0	0	0.5	0.5	0.5
1	817370	819834	FAM87B	817370	819834	-1.41574861673273	1.23960048574107	5.72716236583531	0	0	0	0.5	0.5	0.5
1	826205	859446	LINC01128	826205	859446	-1.88414482891431	0.377720193205551	5.72716236583531	0	0	0	0.5	0.5	0.5
1	868070	876802	FAM41C	868070	876802	-1.30478465055234	0.515912815023721	5.72716236583531	0	0	0	0.5	0.5	0.5
1	874111	875155	TUBB8P11	874111	875155	-1.31781125953049	0.649178544912357	5.72716236583531	0	0	0	0.5	0.5	0.5
1	916817	919692	ENST00000609207	916817	919692	-1.30630896203127	0.518710345594647	5.72716236583531	0	0	0	0.5	0.5	0.5
1	925740	944800	SAMD11	925740	944800	0.196540319723016	0.213069534473951	5.72716236583531	0	0	0	0.5	0.5	0.5
1	945056	959299	NOC2L	945056	959299	-0.550720335726301	0.190757669776515	5.72716236583531	0	0	0	0.5	0.5	0.5
